"method","confounding","effect_modification","num_obs","reliability","beta_mxr","beta_ym","mean","sd","lower_pct","upper_pct","p_value","significance","bias"
"standard",0,0,100,0.75,0.204,0,-0.0044112532731749,0.13903264807658,-0.245423151624139,0.362878611804101,0.974688819573398,FALSE,-0.0044112532731749
"gestimation",0,0,100,0.75,0.204,0,-0.467923373524216,0.25303325180427,-0.958406318195738,0.00790049485785947,0.064420790678145,FALSE,-0.467923373524216
"standard",0,0,100,0.75,0.204,0,-0.0794815240992314,0.152183175751505,-0.346053314819659,0.298064823187175,0.601478616968316,FALSE,-0.0794815240992314
"gestimation",0,0,100,0.75,0.204,0,0.57835292058452,0.445304206342263,-0.114225870136321,1.35886027203906,0.194018882475017,FALSE,0.57835292058452
"standard",0,0,100,0.75,0.204,0,-0.166154536793619,0.175534460673257,-0.498461660896571,0.152618563105766,0.343861182725639,FALSE,-0.166154536793619
"gestimation",0,0,100,0.75,0.204,0,-0.182805611240256,0.358526065957224,-0.896633350701925,0.48323610986962,0.610134868568675,FALSE,-0.182805611240256
"standard",0,0,100,0.75,0.204,0,0.153400974041516,0.17644644719393,-0.20364111332864,0.466990636616337,0.384633239415996,FALSE,0.153400974041516
"gestimation",0,0,100,0.75,0.204,0,0.0895152912702297,0.2480187302582,-0.322151962125361,0.585439911554988,0.718158133367539,FALSE,0.0895152912702297
"standard",0,0,100,0.75,0.204,0,-0.0141673491286852,0.156424697280648,-0.255255244621754,0.255211461253377,0.927834451836478,FALSE,-0.0141673491286852
"gestimation",0,0,100,0.75,0.204,0,0.1857991021646,1.28787122280535,-1.06920145361941,1.72733092288312,0.885288541755116,FALSE,0.1857991021646
"standard",0,0,100,0.75,0.204,0,-0.0242455016581091,0.128966419034669,-0.250404481145985,0.248431344271926,0.850877776414494,FALSE,-0.0242455016581091
"gestimation",0,0,100,0.75,0.204,0,1.02527343405868,0.577553668965472,0.166126327824287,2.50285562402232,0.0758648237574118,TRUE,1.02527343405868
"standard",0,0,100,0.75,0.204,0,-0.0123492425165181,0.118142778296856,-0.230646786227173,0.178353720759555,0.916750253907307,FALSE,-0.0123492425165181
"gestimation",0,0,100,0.75,0.204,0,0.194854443791608,0.256664300956701,-0.276648752476073,0.794214792443315,0.447744795600834,FALSE,0.194854443791608
"standard",0,0,100,0.75,0.204,0,-0.062862256671499,0.157811950353581,-0.328337569219698,0.24191728205469,0.690382174064532,FALSE,-0.062862256671499
"gestimation",0,0,100,0.75,0.204,0,-0.239219965234363,1.27533541173988,-3.74980450473345,1.91746408286133,0.851210486056218,FALSE,-0.239219965234363
"standard",0,0,100,0.75,0.204,0,0.0695765578090938,0.13858893022444,-0.183364620793746,0.333225863979773,0.615642575333452,FALSE,0.0695765578090938
"gestimation",0,0,100,0.75,0.204,0,0.319782809797788,0.592983130055963,-0.635681508552563,1.56168419129972,0.58969498454528,FALSE,0.319782809797788
"standard",0,0,100,0.75,0.204,0,-0.0519137687785299,0.161184562938881,-0.36133957970124,0.261208135449375,0.747394698979506,FALSE,-0.0519137687785299
"gestimation",0,0,100,0.75,0.204,0,0.0545814715926288,0.230704181390514,-0.364474550013098,0.542073189389506,0.812977672432674,FALSE,0.0545814715926288
"standard",0,0,100,0.75,0.204,0,0.166549519561607,0.181399899918252,-0.200332968636712,0.454404823303622,0.358548416939705,FALSE,0.166549519561607
"gestimation",0,0,100,0.75,0.204,0,-0.0460664853460092,0.330624375598754,-0.743519644294724,0.595868398415317,0.889187971821934,FALSE,-0.0460664853460092
"standard",0,0,100,0.75,0.204,0,-0.0931400583569889,0.160460616985168,-0.370223229949876,0.257059635984662,0.561608282825749,FALSE,-0.0931400583569889
"gestimation",0,0,100,0.75,0.204,0,-0.0061416045679635,0.849891703988006,-2.044998305396,1.57343484958716,0.994234266799124,FALSE,-0.0061416045679635
"standard",0,0,100,0.75,0.204,0,-0.155856131276871,0.129528250571844,-0.428864939438378,0.113028013748051,0.228875816950409,FALSE,-0.155856131276871
"gestimation",0,0,100,0.75,0.204,0,0.253701459643225,0.338139814531219,-0.271403513617128,0.926438523880241,0.453082667151454,FALSE,0.253701459643225
"standard",0,0,100,0.75,0.204,0,0.0352951364504345,0.156167872739862,-0.24272753456093,0.362367307133774,0.821195457836663,FALSE,0.0352951364504345
"gestimation",0,0,100,0.75,0.204,0,-0.303567544081794,0.218498709695819,-0.734762543661845,0.108517588991041,0.164731407489275,FALSE,-0.303567544081794
"standard",0,0,100,0.75,0.204,0,-0.288603788913362,0.170052963931141,-0.628602260934399,0.0374144569003628,0.0896700823604632,FALSE,-0.288603788913362
"gestimation",0,0,100,0.75,0.204,0,-0.360011067806996,0.464246367627004,-1.13163133672029,0.443051733346089,0.438059521201647,FALSE,-0.360011067806996
"standard",0,0,100,0.75,0.204,0,0.323708190495717,0.156622466838674,0.00808602439310342,0.612632154679205,0.0387524762322481,TRUE,0.323708190495717
"gestimation",0,0,100,0.75,0.204,0,0.566569677185225,0.758885272248037,-0.617736574353698,2.40739829353064,0.45531624100586,FALSE,0.566569677185225
"standard",0,0,100,0.75,0.204,0,0.141413890877265,0.146727450624536,-0.123639317014207,0.40814576427739,0.335153130864196,FALSE,0.141413890877265
"gestimation",0,0,100,0.75,0.204,0,0.210694935260511,0.287821406561379,-0.230539062284469,0.91544082445681,0.464148070772084,FALSE,0.210694935260511
"standard",0,0,100,0.75,0.204,0,-0.0228272221923681,0.131306042409534,-0.262547050282235,0.220927025036215,0.861985343154264,FALSE,-0.0228272221923681
"gestimation",0,0,100,0.75,0.204,0,-0.240088429191654,0.461171233038655,-1.3683040627566,0.440821815724102,0.6026413922578,FALSE,-0.240088429191654
"standard",0,0,100,0.75,0.204,0,-0.0114005303075355,0.182070983379009,-0.358894919193754,0.339969537247204,0.950072403673529,FALSE,-0.0114005303075355
"gestimation",0,0,100,0.75,0.204,0,0.0275243964132177,0.654640547331365,-1.02704006815117,1.32279165933216,0.966462782866728,FALSE,0.0275243964132177
"standard",0,0,100,0.75,0.204,0,0.0127907601392261,0.162732610298783,-0.264570483404659,0.376774431557671,0.937350900110341,FALSE,0.0127907601392261
"gestimation",0,0,100,0.75,0.204,0,0.0503290218501501,0.330888104509144,-0.63990095320432,0.719273162988141,0.879105820862816,FALSE,0.0503290218501501
"standard",0,0,100,0.75,0.204,0,-0.00573428593359623,0.144667238126048,-0.289296173090143,0.281111729010297,0.968381919269243,FALSE,-0.00573428593359623
"gestimation",0,0,100,0.75,0.204,0,0.221101988725384,0.285443549625183,-0.311077288324712,0.734424572144816,0.438581409870218,FALSE,0.221101988725384
"standard",0,0,100,0.75,0.204,0,-0.211963899200038,0.175572433033583,-0.543519399757783,0.155688650079838,0.22732693470761,FALSE,-0.211963899200038
"gestimation",0,0,100,0.75,0.204,0,0.388736703250509,0.610730351786349,-0.828363292308439,1.59155019137104,0.524443289552401,FALSE,0.388736703250509
"standard",0,0,100,0.75,0.204,0,-0.0231961744673022,0.182618165080496,-0.337293274163278,0.367600144652943,0.898924503439861,FALSE,-0.0231961744673022
"gestimation",0,0,100,0.75,0.204,0,0.000789712054835238,0.772700588553803,-0.927074648357607,0.967916552673129,0.999184549674641,FALSE,0.000789712054835238
